Model,Accuracy,F1-Score (Macro),F1-Score (Weighted),Precision (Macro),Recall (Macro)
BiLSTM_Attention,0.8908386635857249,0.3731846253588357,0.8949888314797108,0.37992170569429745,0.4061060314233214
Ensemble,0.8791958295658775,0.378243656901838,0.8851407268842489,0.38326626450078444,0.47988833784057905
CNN1D,0.8652646149381021,0.2909780404034464,0.8634945986526013,0.3855454916235275,0.3743296768277148
DeepMLP_Attention,0.8503064197448177,0.266783555630315,0.8485718133041319,0.2996331163119186,0.3382243473833131
ResNet,0.8516682852773406,0.2774101412352012,0.8478728125416365,0.31309034585057344,0.4224969628425065
Transformer,0.06909793152718707,0.012926398880686621,0.008931874247507918,0.0069097931527187075,0.1
